Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-06-01,10:00:00,2412.25,2413.75,2411.5,2412.75,0,0
2017-06-01,11:00:00,2412.75,2414.5,2412.25,2414.25,0,0
2017-06-01,12:00:00,2414.25,2414.25,2412,2412.5,0,0
2017-06-01,13:00:00,2412.25,2413.5,2412,2413,0,0
2017-06-01,14:00:00,2413.25,2413.5,2411.25,2411.75,0,0
2017-06-01,15:00:00,2411.5,2415,2411.5,2415,0,0
2017-06-01,16:00:00,2415,2417.5,2413,2415.75,0,0
2017-06-01,17:00:00,2415.75,2416.75,2413.5,2414.75,0,0
2017-06-01,18:00:00,2414.75,2419.75,2414.25,2419.5,0,0
2017-06-01,19:00:00,2419.75,2423.5,2419.25,2422.75,0,0
2017-06-01,20:00:00,2423,2425.5,2423,2424.75,0,0
2017-06-01,21:00:00,2424.5,2426.75,2424.25,2424.5,0,0
2017-06-01,22:00:00,2424.5,2428.5,2423.5,2428.5,0,0
2017-06-01,23:00:00,2428.5,2430,2428.25,2429.5,0,0
2017-06-01,23:59:00,2429.5,2429.5,2429.25,2429.25,0,0
2017-06-02,01:00:00,2429.25,2431.25,2429.25,2429.75,0,0
2017-06-02,02:00:00,2429.75,2430.25,2428.75,2430,0,0
2017-06-02,03:00:00,2430.25,2433.75,2429.75,2433,0,0
2017-06-02,04:00:00,2433.25,2434.75,2432.5,2434,0,0
2017-06-02,05:00:00,2433.75,2435.75,2433.75,2434.5,0,0
2017-06-02,06:00:00,2435,2435.75,2434,2434.25,0,0
2017-06-02,07:00:00,2434.25,2435.25,2434,2434.25,0,0
2017-06-02,08:00:00,2434.25,2435.75,2434,2434.75,0,0
2017-06-02,09:00:00,2434.75,2435.75,2433.75,2434.5,0,0
2017-06-02,10:00:00,2434.5,2436,2433,2433,0,0
2017-06-02,11:00:00,2433,2434,2432.5,2433.75,0,0
2017-06-02,12:00:00,2433.5,2435,2433,2434.75,0,0
2017-06-02,13:00:00,2434.75,2437.25,2434.25,2436.75,0,0
2017-06-02,14:00:00,2437.25,2437.25,2434.5,2434.75,0,0
2017-06-02,15:00:00,2435,2435.25,2428.5,2431.25,0,0
2017-06-02,16:00:00,2431.25,2432.75,2427,2428.25,0,0
2017-06-02,17:00:00,2428.25,2433.75,2428.25,2433,0,0
2017-06-02,18:00:00,2433.25,2436.75,2432.25,2436.25,0,0
2017-06-02,19:00:00,2436.25,2437,2434.75,2436,0,0
2017-06-02,20:00:00,2436,2439,2435.25,2438,0,0
2017-06-02,21:00:00,2437.75,2438.75,2435.75,2437.25,0,0
2017-06-02,22:00:00,2437.25,2439.5,2435.25,2436.25,0,0
2017-06-02,23:00:00,2436.25,2438.25,2436.25,2437.25,0,0
2017-06-05,01:00:00,2436.75,2437,2435.5,2435.75,0,0
2017-06-05,02:00:00,2436,2436,2433.5,2434.25,0,0
